"id","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4"
"9587102941483","sve-za-domacinstvoo","","","",""
"10409422192939","tier-premium","","","",""
"10409422225707","","","","",""
"10409421111595","","","","",""
"10409422586155","tier-premium","","","",""
"9023427969323","sve-za-decu","tier-premium","","",""
"10089735291179","","","","",""
"10409512436011","tier-premium","","","",""
"10409512272171","tier-premium","","","",""
"9587097108779","sve-za-kuhinju","tier-premium","","",""
"10409422651691","","","","",""
"8867337273643","sve-za-decu","tier-premium","","",""
"9383195115819","","","","",""
"10396875424043","4g-kamere","video-nadzor","spoljne-wifi-kamere","unutrasnje-kamere","tier-premium"
"10396870869291","solarne-kamere","4g-kamere","video-nadzor","spoljne-wifi-kamere","tier-premium"
"10396870672683","solarne-kamere","4g-kamere","video-nadzor","spoljne-wifi-kamere","tier-premium"
"10409423634731","tier-premium","","","",""
"10410556391723","tier-premium","","","",""
"10409423831339","","","","",""
"9025006928171","tier-premium","","","",""
"9024927236395","tier-premium","","","",""
"9368746885419","basta-i-alati","tier-premium","","",""
"10409423896875","tier-premium","","","",""
"10409423995179","tier-premium","","","",""
"9022802755883","basta-i-alati","","","",""
"9037375734059","sve-za-automobil","tier-premium","","",""
"10410554655019","tier-premium","","","",""
"10396876964139","solarne-kamere","4g-kamere","video-nadzor","tier-premium",""
"9368668471595","sve-za-decu","sve-za-kuhinju","tier-premium","",""
"10409425010987","tier-premium","","","",""
"9587098288427","sve-za-domacinstvoo","tier-premium","","",""
"9023942426923","tier-premium","","","",""
"9025016693035","sve-za-automobil","tier-premium","","",""
"10409425109291","tier-premium","","","",""
"10412359975211","tier-premium","","","",""
"9587098583339","sve-za-decu","tier-premium","","",""
"9587104842027","sve-za-decu","tier-premium","","",""
"9064134902059","sve-za-decu","tier-premium","","",""
"9382359073067","sve-za-decu","tier-premium","","",""
"9587108741419","sve-za-decu","sve-za-automobil","tier-premium","",""
"10410597122347","tier-premium","","","",""
"10409505489195","tier-premium","","","",""
"10409506439467","tier-premium","","","",""
"10054654918955","tier-premium","","","",""
"10267266548011","sve-za-automobil","tier-premium","","",""
"10409488318763","tier-premium","","","",""
"9368575377707","sve-za-decu","tier-premium","","",""
"10396876210475","baby-monitori","video-nadzor","unutrasnje-kamere","tier-premium",""
"10396873097515","baby-monitori","video-nadzor","tier-premium","",""
"10396871491883","baby-monitori","video-nadzor","tier-premium","",""
"10410596991275","tier-premium","","","",""
"10409497297195","","","","",""
"10397711925547","baterijske-lampe","rasveta","tier-premium","",""
"9380261429547","basta-i-alati","tier-premium","","",""
"9970535104811","tier-premium","","","",""
"10010544111915","tier-premium","","","",""
"9383223066923","","","","",""
"10409504997675","tier-premium","","","",""
"10409513517355","tier-premium","","","",""
"10409505587499","tier-premium","","","",""
"10409513386283","tier-premium","","","",""
"10410556424491","tier-premium","","","",""
"9046628008235","sve-za-automobil","tier-premium","","",""
"10409513484587","tier-premium","","","",""
"10410590535979","tier-premium","","","",""
"9383181844779","sve-za-decu","tier-premium","","",""
"10409513615659","tier-premium","","","",""
"10417823973675","tier-premium","","","",""
"9022800036139","sve-za-domacinstvoo","","","",""
"9587095241003","","","","",""
"10409508765995","tier-premium","","","",""
"9049998065963","sve-za-decu","tier-premium","","",""
"10010528547115","","","","",""
"8893799203115","sve-za-decu","","","",""
"10410600038699","tier-premium","","","",""
"10410600235307","tier-premium","","","",""
"10410600497451","tier-premium","","","",""
"10410600661291","tier-premium","","","",""
"10410600825131","tier-premium","","","",""
"9587092816171","sve-za-decu","tier-premium","","",""
"10410607214891","tier-premium","","","",""
"10410556555563","tier-premium","","","",""
"10409513713963","tier-premium","","","",""
"10409516761387","tier-premium","","","",""
"10409517318443","tier-premium","","","",""
"10409518170411","tier-premium","","","",""
"9049999769899","sve-za-domacinstvoo","tier-premium","","",""
"9587089572139","sve-za-domacinstvoo","","","",""
"10409518268715","tier-premium","","","",""
"9598064558379","sve-za-decu","tier-premium","","",""
"9368701468971","sve-za-decu","tier-premium","","",""
"10410556457259","tier-premium","","","",""
"9368663720235","sve-za-kuhinju","","","",""
"10410555736363","tier-premium","","","",""
"10409509585195","tier-premium","","","",""
"10410552754475","tier-premium","","","",""
"10409513746731","tier-premium","","","",""
"9587088818475","sve-za-automobil","tier-premium","","",""
"9586989465899","sve-za-automobil","","","",""
"10409425142059","tier-premium","","","",""
"10409513943339","tier-premium","","","",""
"10409424945451","tier-premium","","","",""
"9941291073835","tier-premium","","","",""
"10409519251755","tier-premium","","","",""
"10409519186219","tier-premium","","","",""
"10409519120683","tier-premium","","","",""
"10409422487851","","","","",""
"9586988810539","lepota-i-zdravlje","","","",""
"10409420882219","tier-premium","","","",""
"10396873294123","lovacke-kamere","4g-kamere","video-nadzor","spoljne-wifi-kamere","tier-premium"
"10396872278315","lovacke-kamere","4g-kamere","video-nadzor","spoljne-wifi-kamere","tier-premium"
"10396871754027","lovacke-kamere","4g-kamere","video-nadzor","spoljne-wifi-kamere","tier-premium"
"10396876833067","lovacke-kamere","solarne-kamere","4g-kamere","video-nadzor","tier-premium"
"10396873621803","lovacke-kamere","solarne-kamere","4g-kamere","video-nadzor","tier-premium"
