"id","title","description","link","image_link","additional_image_link","availability","condition","price","sale_price","brand","gtin","identifier_exists","mpn","google_product_category","product_type","shipping","item_group_id","product_highlights","custom_label_0","custom_label_1","custom_label_2","custom_label_3","custom_label_4","color","material","size","age_group","gender"
"7885771899063","2u1 Edukativna Dečija Sudopera","SVAKO DETE VOLI DA SE IGRA SA VODOM! Satima će držati pažnju detetu. ✓ Stvara radne navike. ✓ Razvija osećaj za obaveze. ✓ Savršen poklon za mališane. ✓ IZ SLAVINE ZAISTA TEČE VODA - Sipajte običnu vodu u sudoperu. - - Sudopera radi na principu pumpe. - - Izvlači vodu iz donjeg dela. - - Voda teče kroz slavinu. - - Zabava je zagarantovana! - IGRAČKA ZA STVARANJE RADNIH NAVIKA DEČIJA SUDOPERA SADRŽI: 1 x Veliku sudoperu ( 33cm x 28cm ). ✓ 5 x voće i povrće za igru. ✓ 2 x šoljice. ✓ 2 x tanjirići za igru. ✓ 1 x Viljuška, nož, kašika. ✓ IGRAČKA ĆE DRŽATI PAŽNJU SATIMA! RAZVIJA OSEĆAJ ODGOVORNOSTI Delovi su VELIKI i kvalitetni. Dimenzija bazena su 33x28cm. Za dečake i devojčice od 3 - 12 godina. Radi na 2AA obične baterije . (nisu u setu) Šaljemo Post-Expressom - 290 dinara. Rok isporuke je 1-2 radnih dana. Požuri i poruči SUDOPERU na AKCIJI! (zalihe se jako brzo prodaju) BOJA SE BIRA POSLE PORUDŽBINE","https://www.poklonizadecu.com/products/2u1-decija-sudopera-sa-vodom","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/Imagead1_4.png?v=1729890894","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/Imagead1_3.png?v=1729890893,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/Imagead1_1.png?v=1729890893,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/Addaheading_1_d1dfa1c0-0fd7-4df2-9032-e553ee388ae1.png?v=1729890894","in stock","new","4990.00 RSD","2490.00 RSD","poklonizadecu.com","","no","001","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7875780608183","3D Magnetni set kocki sa toboganima-razvija kreativnost","MAGNETNI SET 73 DELA – 3D SVET KREATIVNOSTI ZA DECU I RODITELJE! Zajednički trenuci sa decom nikada nisu bili zabavniji! Uronite u svet mašte i kreativnosti sa ovim magnetnim kockama i toboganima u 3D obliku , savršenim za decu i roditelje. 🌈 RAZVIJA KREATIVNOST I VEŠTINE Više boja i različiti oblici omogućavaju vašoj deci da slobodno izraze svoju maštu ! Kreativne konstrukcije postaju stvarnost, dok kroz igru uče o geometriji, fizici i logici . PORODIČNA ZABAVA KOJA POVEZUJE Izgradite kule, mostove ili čak mala umetnička dela zajedno sa vašim mališanima. Ove kocke su dizajnirane da podstiču zajedničko vreme , stvarajući trenutke za pamćenje! ❤️ SIGURNE I LAKE ZA KORIŠĆENJE Kocke su napravljene od sigurnih materijala i lako se sklapaju i rasklapaju zahvaljujući jakim magnetima. Bez brige o oštrim ivicama – bezbedna igra za sve uzraste! ✔️ ŠARENI SVET MAŠTE Više boja i oblika pretvaraju svaku igru u pravu avanturu! Deca će uživati u pravljenju šarenih 3D konstrukcija , dok roditelji mogu učestvovati u svakom koraku. 🌟 PAKET SADRŽI 73 magnetni set različitih oblika i boja. Uputstvo sa idejama za slaganje. Kutija za lako skladištenje i nošenje. ✔️ PORUČITE SADA I STVORITE USPOMENE KUPOVINA BEZ RIZIKA – PLAĆANJE POUZEĆEM Poručite Magnetni set kocki i tobogana već danas! Brza dostava i 30 dana garancije. ✓ Naručite sada i pružite nezaboravnu zabavu! (Zalihe su ograničene – požurite!)","https://www.poklonizadecu.com/products/magnetne-kocke-73-delova-razvija-kreativnost-i-zabavu","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/3d-magnetne-kocke-set-poklonizadecu.png?v=1781876932","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s3_36eb5441-1434-42dc-b7d1-3ad0243537eb.png?v=1730284200,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s15_09f2cb5c-0cae-4032-b560-e7bdcc6639d6.png?v=1730284572,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s8_dfd8d91c-e92a-4f6b-ae46-f72290e802ef.png?v=1730284572","in stock","new","4570.00 RSD","2490.00 RSD","Pokloni za decu","","no","002","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7910273515703","3D Magnetni set za igru i učenje","MAGNETNI SET ZA GRAĐENJE - 60 DELOVA 🎨 Kreativna zabava za decu svih uzrasta! Razvijajte STEM veštine kroz igru i maštovite konstrukcije. ✓ Savršeno za razvijanje koordinacije, motorike i strpljenja. ✓ SIGURNA I KVALITETNA IGRAČKA ✔ Napravljeno od visokokvalitetnog, netoksičnog ABS materijala. ✔ Zaobljene ivice za maksimalnu sigurnost mališana. ✔ Više boja za dodatnu zabavu i raznolikost. RAZVOJ I ZABAVA ZA CELO KUPNU PORODICU 🧠 Podstiče dečiju maštu i kreativnost. 👨👩👧 Idealno za porodično vreme i zajedničke aktivnosti. Poručite MAGNETNI SET ZA GRAĐENJE i omogućite svom detetu nezaboravne trenutke igre i učenja!","https://www.poklonizadecu.com/products/3d-magicni-set-za-igru-i-ucenje","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/4_a9280cb7-17e9-4a89-aa63-a31465d34f40.png?v=1734354680","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/2_f1effe8e-3b8c-4132-9a9a-21376d45c68d.png?v=1734354679,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/1_3e69c821-4406-4442-b49a-59d4309241fc.png?v=1734354680,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/5_2e549cec-4e71-4eb6-90c3-beaab5aacffd.png?v=1734354679","in stock","new","2490.00 RSD","1590.00 RSD","Pokloni za decu","","no","3D-1","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7734537715895","3u1 rgb led lampa-punjač i blutut zvučnik","Napravite atmosferu po vašoj meri - blutut zvučnik - - led lampa koja menja boje - - bežični punjač- Ulepšava svaki prostor 1. Menjajte boje i intezitet 2. Povežite se telefonom sa uredjajem i slušajte omiljenu muziku 3. Brzo napunite telefon bez kablova Razbijte monotoniju gde god se nalazili Ponesite dobru zabavu sa sobom *Materijal: Plastika *Boja: Bela *Izlazna snaga zvučnika: 30w *Punjiva baterija: 1500mAh *Dimenzije: Visina 24cm, širina 23cm Idealna za poklon Sadržaj paketa: 1 x rgb lampa 1 x kabal usb-c 1 x uputstvo za upotrebu 🔥 Ograničeno vreme akcije se uskoro završava. Požuri i uštedi 2010 dinara - klikom na dugme PORUČIVANJE!","https://www.poklonizadecu.com/products/3u1-rgb-led-lampa-punjac-i-blutut-zvucnik","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/6_1e1a1051-845b-48a5-afa7-90ad77761a6a.png?v=1717320330","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/2_3bca997e-56ac-4ece-b971-e9378b2afdf4.png?v=1717320330,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/3_eaea3ee4-55df-404d-8288-240f5bc0b9a9.png?v=1717320330,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/5_36b7d591-9b4e-4d2f-bc09-82bd5d685a34.png?v=1717320330","in stock","new","4000.00 RSD","1990.00 RSD","Kupilica","","no","003","2616","","RS::Standard:450 RSD","","","","","","","","","","","",""
"8292063314103","Ajkula gliser na daljinski 2u1","Deca obožavaju brze igračke, ali brzo im dosade obični modeli koji ne nude ništa novo. Roditelji žele nešto uzbudljivo, izdržljivo i dovoljno drugačije da zadrži pažnju mališana duže od nekoliko minuta. Upravo zato ovaj gliser sa maskom ajkule donosi potpuno novu dimenziju igre. Ajkula gliser 2u1 je jedinstvena igračka koja se u sekundi transformiše iz ultra brzog glisera u moćnu ajkulu na daljinsko upravljanje. Idealna je za decu koja obožavaju vodene trke, brzu vožnju i akcione avanture, kako u kući, tako na vodi ili bazenu. Snažan motor, duga kontrola i moderni dizajn čine ga favoritom među malim vozačima. Ključne prednosti 2u1 dizajn – koristite ga kao klasični super brzi gliser ili ga pretvorite u ajkulu uz dodatnu masku. Impresivna brzina i domet – daljinska kontrola 40–50m donosi pravo iskustvo vožnje na daljinu. Dugotrajna zabava – oko 20 minuta igre po jednom punjenju, idealno za duže trke i takmičenja. Snažna punjiva baterija – litijumska baterija 3.7V obezbeđuje stabilne performanse. Realističan izgled ajkule – dodatna maska čini igru zabavnijom i vizuelno atraktivnom. Optimalna veličina – lako upravljanje i odlična kontrola, čak i za mlađe vozače. Paket sadrži Gliser na daljinsko upravljanje Masku ajkule (za mod ajkule) Daljinski upravljač Punjivu bateriju 3.7V USB kabl za punjenje Uputstvo za korišćenje Tehničke karakteristike Vreme igre: 20 min Domet daljinske kontrole: 40–50 m Vreme punjenja: 80–90 min Dimenzije glisera: 23.5 × 7.5 × 6.5 cm Dimenzije sa maskom ajkule: 26.5 × 15.8 × 11 cm Zašto ga deca obožavaju? Ovaj gliser donosi dvostruku zabavu u jednoj igrački. Deca mogu birati stil vožnje – klasičan trkački ili „predatorski” mod ajkule. Trke, jurnjava, borba za pobedu – svaki trenutak postaje uzbudljiva avantura koja budi maštu i osećaj brzine. Kupovina bez rizika 🛡️ Garancija zadovoljstva 💰 Plaćanje pouzećem 🚚 Brza dostava na kućnu adresu","https://www.poklonizadecu.com/products/ajkula-gliser-na-daljinski-2u1","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/ajkula-gliser-na-daljinski-poklonizadecu.jpg?v=1781876928","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/2u1-gliser-ajkula-na-daljinski-450x450-1.webp?v=1763809525,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/2u1-gliser-ajkula-na-daljinski-1-900x800-1.webp?v=1763809525","in stock","new","5000.00 RSD","3500.00 RSD","Pokloni za decu","","no","AJ-032","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7884426805431","Akrobacije na motoru","Pripremite se za uzbudljive akrobacije sa našim motorom! Doživite uzbuđenje i radost akrobacija sa ovom fantastičnom igračkom koja će oduševiti Vaše najmlađe! Naš motor na baterije nudi spektakularne trikove, svetlosne efekte i muziku koja će pratiti svaki pokret Vašeg malog akrobate. Vaš mališan će biti zvezda svakog okupljanja sa ovim neverovatnim motorom koji se okreće na jednom točku i izvodi zadivljujuće pokrete uz svetlosne efekte i veselu muziku. Izrađen od netoksične ABS plastike i pažljivo dizajniran za ruke najmlađih, ovaj motor garantuje sigurnost i zabavu. Lako upravljanje omogućava deci da kontrolišu motor na jednostavan i intuitivan način. Ovaj motor nije samo igračka, već alat koji podstiče maštu i kreativnost. Sa različitim bojama i elementima koji privlače pažnju, dete će biti očarano svakom vožnjom. Specifikacije: Uzrast: 1+ Materijal: ABS Plastika - Netoksična Baterija: 3AA","https://www.poklonizadecu.com/products/akrobacije-na-motoru","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s2_49425c09-1373-47be-8c61-e3b4068b7014.png?v=1729630331","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s1_3efa78bd-d78d-4e2b-83c7-07d089ab066d.png?v=1729630331,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s3_d3892b63-4d95-4d01-a9ae-675ce089b573.png?v=1729630331,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s4_5e9b6621-53af-432b-9811-8ae3023562c4.png?v=1729630331","in stock","new","4399.00 RSD","2899.00 RSD","Sve za decu","","no","005042","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7734501277879","Aparat za kokice za dom bez ulja","Pripremite Savršene Kokice Bez Ulja – Zdravo, Brzo i Jednostavno! Kad god pravite kokice, cela kuća se zadimi, neke kokice izgore, a gomila ostane neispucana? Nekad stavite premalo ulja, nekad previše? Sada postoji rešenje – aparat za kokice , koji će vam za samo par minuta pripremiti savršeno ukusne i zdrave kokice! Zašto je ovaj aparat za kokice savršen? Aparat koristi isključivo topli vazduh za pripremu kokica. Nema ulja, nema masti, a rezultat su ukusne kokice! Iako koristi topao vazduh, aparat se ne greje spolja , pa možete slobodno da ga dodirnete. Ne morate više da stojite pored šporeta! Dovoljno je da sipate kukuruz, pritisnete dugme i aparat će za par minuta napraviti kokice. Kokice idu direktno u posudu ispod aparata, tako da ne prljate gomilu sudova . Uživajte uz omiljeni film i zdrave kokice, bez masti, a jednako ukusne kao one iz bioskopa! Iskoristite AKCIJU i poručite svoj aparat po super ceni! 3 razloga zašto je bolje praviti kokice u aparatu nego na klasičan način : Nema zagorelih šerpi. Kokice su zdravije , jer se prave bez ulja i putera. Kokice idu direktno u činiju, a ne po celoj kuhinji. Specifikacije : Snaga: 1200 W Na poklopcu se nalazi merica za kukuruz Naručite svoj aparat za kokice i ulepšajte svako kućno uživanje!","https://www.poklonizadecu.com/products/aparat-za-kokice","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/71HMhaMUUuL._AC_UF1000_1000_QL80.jpg?v=1717319860","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/619olXhd54L._AC_UF894_1000_QL80.jpg?v=1717319860,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/1699897274-71g1rEV9ulL._AC_UF1000_1000_QL80.jpg?v=1717319860","in stock","new","3990.00 RSD","1990.00 RSD","Kupilica","","no","004","3318","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7734517661879","Astronaut projektor sa blututom","Neka vaši najmlađi dožive čarobno galaktičko iskustvo -8 različitih projekcija- -4 nivoa osvetljenje- -2 režima rada(sa zvezdicama i bez)- Napravite magičan ambijent u vašem domu 1.Projektuje galaksije visoke definicije 2.Ulepšava svaki prostor 3.Podiže raspoloženje Ambijent lampa idealna za svaku važnu situaciju u vašem životu Za promenu atmosfere iz obične u ZABAVNU je potrebna samo mala promena osvetljenja → Za decu i sve koji vole dobru atmosferu ← → Napravljeno od abs pvc-a ← → Dimenzije 22.5x10x12cm ← → Napaja se pomoću usb kabla i punjača telefona ← → Dolazi u pakovanju sa daljinskim i usb kablom ← Idealan poklon za praznike ili rođendane Obradujte vaše najmilije","https://www.poklonizadecu.com/products/astronaut-projektor-sa-blututom","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/3_bc66e137-a4b0-421c-a144-543d32eaeb4e.png?v=1717320067","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/2_ee529522-08b3-49e5-bc1d-d79d5d3e59bf.png?v=1717320068,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/1_0f4dca16-a3fa-4751-9a32-aa642ea50ee5.png?v=1717320068,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/4_695d11b7-9e69-4805-a5ce-9cbc6de1fb81.png?v=1717320068","in stock","new","4000.00 RSD","2500.00 RSD","Kupilica","","no","005","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7517221257399","Astronaut Projektor Zvezdanog Neba","Recite Zbogom Noćnim Strahovima Bezbedna i Umirujuća Svetlost za Sladak San 1.Multifunkcionalna Zvezdana Projekcija 2.Edukativni Aspekt 3.Pomagač za Bolji San Neka Vaši Mali Istraživači Otkriju Svemir Podstaknite dečiju maštu i interesovanje za nauku od rane dobi *Savremeni Dizajn-mali i moćan *Pokretna Projekcija sa 360° Rotacijom *Jednostavna Upotreba i Daljinsko Upravljanje *Podesivi Tajmer Prelepa dekor lampa za sve ambijente Idea lan Poklon za praznike ili rođendane Obradujte vaše najmilije Specifikacija: * Izdržljiva ABS Plastika: Otporna i dugotrajna konstrukcija. * Dimenzija :12.5cm x 7.5 cm * Boja :Bela","https://www.poklonizadecu.com/products/astronaut-projektor-zvezdanog-neba","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/1.png?v=1709028564","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/2.png?v=1709028564,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/3_2858f52e-9a3b-42e8-b7bf-01165375a154.png?v=1709028563,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/4_df9999eb-0f2a-4fd5-a9b2-c8c2b06ec115.png?v=1709028564","in stock","new","3500.00 RSD","2399.00 RSD","Pokloni za decu","","no","006","632","","RS::Standard:450 RSD","","","","","","","","","","","",""
"7884413239479","AUTIĆ KOJI IDE PO ZIDU","PREDSTAVLJAMO VAM AUTIC KOJI SE SUPROSTAVLJA GRAVITACIJI Ovaj autić se neverovatno dobro i brzo kreće po zidu, kao i po bilo kojoj drugoj površini. Odlično se kreće i po staklu Možete ga voziti i po staklenim površinama bez bojazni da ćete ih oštetiti. Savršen okret Mogućnost okreta za 360 stepeni više puta zaredom u toku vožnje. Upravljajte džojstikom Kontrolišite kretanje automobila iz svoje udobne fotelje i na udaljenosti do 10 metara. Auto koji ostavlja bez daha Izuzetno brzi autić koji jako moćno izgleda Vašeg dečaka neće ostaviti ravnodušnim! Jedva će čekati da završi sa svojim obavezama da može ostatak vremena da provede uz ovu jaku mašinu! Idealan poklon za decu Apsolutno bi se svaki mališan obradovao kada bi na poklon dobio ovakav autić sa mnogobrojnim funkcijama. Jednostavno upravljanje Kontrolu vožnje možete vršiti pomoću džojstika koji ima dosta mogućnosti za upravljanje. Velika otpornost Napravljen je od izuzetno čvrstog materijala tako da ukoliko zbog brzine i udari negde, neće se oštetiti. Pametno USB punjenje Priključite USB i napunite ga preko kompjutera, power bank-a ili uključivanjem u struju. Dodatne informacije o proizvodu: Materijal: ABS plastika Punjenje: USB Dimenzije: 14 x 8.5cm Boja: Plava Paket sadrži: 1x Autić koji ide po zidu","https://www.poklonizadecu.com/products/autic-koji-ide-po-zidu","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/A6_7947ac68-bf4a-4d0f-ad7d-df9b41593c6e.png?v=1729629527","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/A4_079b4f84-44c3-4595-8440-ae13288b33ff.png?v=1729629527,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/A9_96c69bb2-e085-4dbb-83fb-40dee11201a2.png?v=1729629527,https://cdn.shopify.com/s/files/1/0622/6382/0471/files/A2_c1315fac-73a4-497a-b603-3b00082f5bad.png?v=1729629528","in stock","new","3600.00 RSD","1999.00 RSD","Sve za decu","","no","005104","1253","","RS::Standard:450 RSD","","","","","","","","","","","",""
